date,close,rel_interval_width,forecast_slope,bowley_skewness,moors_kurtosis,tail_asymmetry,m1_pred_proba_dn,m1_pred_proba_up,m1_dn,m1_up,m1_prediction,isTP_DN,isTP_UP
2023-05-21,26747.78,0.1337427484188491,-14.036969866067732,-9.938668476829485e-07,1.1250009938668495,0.0575917346256413,0.45,0.355,0.0,0.0,26529.916,0.0,0.0
2023-05-22,26849.27,0.13475255553172,-63.22914341517402,0.11110988533339805,1.2916674480999588,0.15789510296983328,0.575,0.315,1.0,0.0,26359.566,0.0,0.0
2023-05-23,27219.61,0.1287258914482711,-38.688546316961,0.0,1.3333366387797174,0.060772749177695214,0.5,0.345,0.0,0.0,26885.125,0.0,0.0
2023-05-24,26329.01,0.1311451656952226,-42.24755859374753,0.17073104727377986,1.0731714153235852,-0.005525282996660201,0.53,0.4,1.0,1.0,26024.486,0.0,1.0
2023-05-25,26473.79,0.1479681399254155,-63.45724051338782,-0.17073264895625417,1.2439019917457792,0.0049737928969776244,0.525,0.305,1.0,0.0,26059.848,0.0,0.0
2023-05-26,26705.92,0.1378918542620213,5.3657930108838216e-12,0.0,1.3000001975726228,-0.0526315229046364,0.43,0.435,0.0,1.0,26691.143,0.0,1.0
2023-05-27,26854.27,0.1462775484711048,3.231848019883468e-12,-0.13513628812010622,1.4189194269529217,-0.10000027780450499,0.4,0.475,0.0,1.0,26925.406,0.0,0.0
2023-05-28,28065.0,0.1682497370710018,10.626046316970235,0.23076923076923078,1.1538438815337502,0.2173913615293918,0.43,0.46,0.0,1.0,27967.834,0.0,0.0
2023-05-29,27736.4,0.1784271490038168,14.19475446429072,0.16666816818907387,1.2499985667286113,0.12554173095552287,0.355,0.535,0.0,1.0,28020.611,0.0,0.0
2023-05-30,27694.4,0.1754462000295261,14.21847098214787,1.7839621800017839e-06,1.420455579341718,0.20833362986753812,0.415,0.44,0.0,1.0,27768.719,0.0,0.0
2023-05-31,27210.35,0.1665192754450187,10.680175781253403,0.024391129751023047,1.2804908237567758,0.18181845127014037,0.47,0.455,0.0,1.0,27113.504,0.0,0.0
2023-06-01,26817.93,0.1432083518956277,-21.399274553567903,0.19999804421061895,1.2,0.052630663572626586,0.48,0.415,0.0,1.0,26563.768,0.0,0.0
2023-06-02,27242.59,0.1745960078222103,3.9588576738034015e-12,-0.11111038818801494,1.6805577695075395,0.04761882100490733,0.4,0.415,0.0,1.0,27217.191,0.0,0.0
2023-06-03,27069.22,0.1481986645555684,17.902134486611317,-0.027028307810415625,1.2702717574020936,-0.005235749744165947,0.38,0.465,0.0,1.0,27168.336,0.0,0.0
2023-06-04,27115.21,0.1565223393283845,-53.808942522317125,-0.13513666914195713,1.4189184715002625,-0.09900991318966414,0.43,0.385,0.0,0.0,27119.824,0.0,0.0
2023-06-05,25728.2,0.1863797611598293,-21.554338727674587,-0.06666770224794491,1.2555553541925293,2.0711639586026232e-07,0.505,0.355,0.0,0.0,25348.07,0.0,0.0
2023-06-06,27230.08,0.1873648173988066,3.412366266879504e-12,0.11110991519649893,1.374999865459606,0.004149271706297729,0.44,0.39,0.0,0.0,27017.777,0.0,0.0
2023-06-07,26339.34,0.177752671507764,-18.045758928567867,-0.09523774463222967,1.3452377446322297,-0.049773265348386345,0.5,0.4,0.0,1.0,26173.516,0.0,0.0
2023-06-08,26498.61,0.1503977413560331,-36.18394252231693,1.2048642780633976e-06,1.6250004518241044,0.05263204375116296,0.46,0.36,0.0,0.0,26341.795,0.0,0.0
2023-06-09,26477.81,0.147260880266654,3.44080231464054e-12,9.615634252043082e-07,1.3000010577197678,-0.05759116689710171,0.485,0.4,0.0,1.0,26405.564,0.0,0.0
2023-06-10,25841.21,0.1534358254839632,-65.38902064731703,0.19999961596694243,1.1999996159669424,-2.457813484502886e-07,0.525,0.355,1.0,0.0,25429.11,0.0,0.0
2023-06-11,25925.55,0.139121237372328,-29.08293805803104,-0.11111300619657413,1.2222228144364293,-0.11111056532646507,0.53,0.345,1.0,0.0,25651.14,0.0,0.0
